"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Klhdc31",5.40936241641291e-09,0.63379918454266,0.278,0.136,0.000117518398496571,"5","Klhdc3"
"Ubl73",5.4506878521644e-09,0.767557949934886,0.241,0.113,0.000118416193588272,"5","Ubl7"
"Pole31",5.47148619341914e-09,0.376664811251056,0.292,0.145,0.000118868037552031,"5","Pole3"
"Mccc23",5.49446323385386e-09,0.974343992191048,0.176,0.071,0.000119367213755475,"5","Mccc2"
"Tab11",5.63620992134959e-09,0.864334536983988,0.139,0.05,0.00012244666054132,"5","Tab1"
"Ccser22",5.64121762877626e-09,0.252082676130471,0.704,0.445,0.000122555452985164,"5","Ccser2"
"Supt202",5.7793636316885e-09,0.375993142964256,0.287,0.14,0.000125556674898433,"5","Supt20"
"Rpl291",5.7806469290798e-09,0.298491101856304,0.972,0.693,0.000125584554534259,"5","Rpl29"
"Rab1b2",5.78989224624233e-09,0.417931798909885,0.472,0.284,0.000125785409049615,"5","Rab1b"
"H2afj1",5.85883228759769e-09,0.328902670718611,0.463,0.28,0.00012728313144806,"5","H2afj"
"Sv2a1",5.863229701587e-09,0.790458359864976,0.176,0.072,0.000127378665266978,"5","Sv2a"
"Casp6",5.90617488229367e-09,1.16923978903411,0.125,0.043,0.00012831164931783,"5","Casp6"
"Arhgap291",6.06053031398071e-09,0.30719324387449,0.731,0.499,0.000131665021071231,"5","Arhgap29"
"Pitpna2",6.18770650368445e-09,0.368624379264632,0.593,0.378,0.000134427923792545,"5","Pitpna"
"Itpa2",6.20846449308503e-09,0.72679980958986,0.245,0.116,0.000134878891112272,"5","Itpa"
"Osgep",6.2994841379232e-09,0.384052071249978,0.329,0.172,0.000136856292896382,"5","Osgep"
"Ppp1r14c3",6.42554434131207e-09,0.900734755335527,0.245,0.118,0.000139594950815005,"5","Ppp1r14c"
"Stc21",6.54464269913806e-09,0.554185636672555,0.287,0.144,0.000142182362638774,"5","Stc2"
"Ezh11",6.57029049486285e-09,0.4936466220246,0.273,0.133,0.000142739561000896,"5","Ezh1"
"Ebna1bp21",6.58691349493196e-09,0.489404871964576,0.333,0.177,0.000143100695677397,"5","Ebna1bp2"
"Ttc41",6.60687096110501e-09,0.560268758104177,0.185,0.076,0.000143534271630006,"5","Ttc4"
"Cdkn2c1",6.64023966621171e-09,0.627781927792385,0.259,0.123,0.000144259206748449,"5","Cdkn2c"
"Marveld12",6.73757658995707e-09,0.254902252839042,0.875,0.563,0.000146373851416817,"5","Marveld1"
"Esrra1",6.8681202798548e-09,0.534316112631685,0.31,0.16,0.000149209913079845,"5","Esrra"
"Api5",7.06962269832736e-09,0.361946321103228,0.472,0.286,0.000153587553121162,"5","Api5"
"Tspan122",7.17111802932804e-09,0.367163813509708,0.426,0.244,0.000155792539187152,"5","Tspan12"
"Acaa1a1",7.28985474319667e-09,0.321967061526511,0.468,0.28,0.000158372094295948,"5","Acaa1a"
"Sparcl13",7.3522417183704e-09,0.27679633754591,1,0.905,0.000159727451331597,"5","Sparcl1"
"Prepl1",7.45670412170328e-09,1.25906138457113,0.125,0.043,0.000161996897044004,"5","Prepl"
"Cdk71",7.48388661949125e-09,0.679475410692313,0.176,0.071,0.000162587436808447,"5","Cdk7"
"Ash2l1",7.91484869202907e-09,0.687711797218414,0.213,0.094,0.000171950087834332,"5","Ash2l"
"Rbm8a1",7.9336151804098e-09,0.289545799707814,0.551,0.354,0.000172357789794403,"5","Rbm8a"
"BC0056241",7.94207403149232e-09,0.554916940995977,0.356,0.198,0.000172541558334171,"5","BC005624"
"Casp2",7.94326110040448e-09,0.926183991664269,0.134,0.048,0.000172567347406287,"5","Casp2"
"Dcun1d2",7.94693402052669e-09,0.98221879053964,0.157,0.061,0.000172647141595942,"5","Dcun1d2"
"Gtpbp3",7.95940056323514e-09,1.09748891948925,0.106,0.033,0.000172917977236283,"5","Gtpbp3"
"Trmt13",7.9676321703562e-09,0.565626434140651,0.125,0.042,0.000173096808900988,"5","Trmt13"
"Hagh3",8.36271025726591e-09,0.691898239912579,0.296,0.152,0.000181679880339102,"5","Hagh"
"Psmg12",8.40100673417167e-09,0.821739478864,0.194,0.083,0.00018251187129988,"5","Psmg1"
